ANO,INFLACAO,BANKRATE,DESEMPREGO,GDP,LIBRA,CASOS,MORTES
1997-01,2.6,5.94,7.5,64.3701,1.6757,,
1997-02,2.4,5.94,7.3,65.241,1.7126,,
1997-03,2.2,5.94,7.2,65.5841,1.7383,,
1997-04,2.1,5.94,7.2,65.7258,1.7268,,
1997-05,2.1,6.25,7.2,65.2434,1.7564,,
1997-06,2.1,6.50,7.3,65.7049,1.7929,,
1997-07,2.4,6.75,7.1,65.7525,1.7766,,
1997-08,2.3,7.00,6.8,65.8866,1.769,,
1997-09,2.2,7.00,6.7,66.0957,1.7739,,
1997-10,2.2,7.00,6.6,66.2417,1.8452,,
1997-11,2.1,7.25,6.5,66.5193,1.8731,,
1997-12,1.9,7.25,6.4,66.9697,1.8387,,
1998-01,1.8,7.25,6.4,66.7171,1.8345,,
1998-02,1.8,7.25,6.4,67.4136,1.858,,
1998-03,1.9,7.25,6.3,67.4106,1.9021,,
1998-04,2.1,7.25,6.3,67.835,1.9108,,
1998-05,2.2,7.25,6.3,67.586,1.8759,,
1998-06,1.9,7.50,6.3,67.7409,1.9291,,
1998-07,1.7,7.50,6.3,68.179,1.9003,,
1998-08,1.6,7.50,6.2,68.287,1.9799,,
1998-09,1.7,7.50,6.2,68.3716,2.0114,,
1998-10,1.6,7.25,6.2,68.7004,1.9981,,
1998-11,1.7,6.75,6.1,68.9353,1.9802,,
1998-12,1.9,6.25,6.2,69.2546,1.9986,,
1999-01,2.0,6.00,6.2,69.1636,3.4314,,
1999-02,1.9,5.50,6.2,69.4007,3.2611,,
1999-03,2.1,5.50,6.2,69.3513,2.7664,,
1999-04,2.0,5.25,6.1,68.9589,2.6806,,
1999-05,1.7,5.25,6,69.4665,2.7572,,
1999-06,1.8,5.00,6,69.6619,2.7653,,
1999-07,1.7,5.00,5.9,70.1198,2.9235,,
1999-08,1.6,5.00,5.9,70.4443,3.0759,,
1999-09,1.6,5.25,5.8,70.6059,3.1908,,
1999-10,1.5,5.25,5.8,71.2239,3.2019,,
1999-11,1.5,5.50,5.8,71.4532,3.0745,,
1999-12,1.5,5.50,5.9,71.4228,2.9215,,
2000-01,1.2,5.75,5.8,71.984,2.8827,,
2000-02,1.2,6.00,5.8,72.2714,2.7913,,
2000-03,1.0,6.00,5.7,72.0712,2.7615,,
2000-04,0.9,6.00,5.6,72.5446,2.8014,,
2000-05,1.0,6.00,5.5,72.6924,2.7386,,
2000-06,1.2,6.00,5.3,72.8865,2.7416,,
2000-07,1.2,6.00,5.3,72.7492,2.6744,,
2000-08,1.0,6.00,5.3,73.4269,2.6401,,
2000-09,1.3,6.00,5.4,73.1316,2.7215,,
2000-10,1.4,6.00,5.3,73.2369,2.7518,,
2000-11,1.5,6.00,5.2,73.3904,2.8238,,
2000-12,1.2,6.00,5.2,73.6193,2.9166,,
2001-01,1.2,6.00,5.2,74.0075,2.8845,,
2001-02,1.2,5.75,5.1,74.1906,2.9558,,
2001-03,1.3,5.75,5,74.3701,3.0484,,
2001-04,1.5,5.50,4.9,74.5514,3.1525,,
2001-05,1.9,5.25,5,74.6525,3.377,,
2001-06,1.9,5.25,5,74.852,3.2715,,
2001-07,1.7,5.25,5.1,74.968,3.5236,,
2001-08,2.1,5.00,5.1,75.281,3.7278,,
2001-09,1.7,4.75,5.1,75.1639,3.9369,,
2001-10,1.6,4.50,5.1,75.4042,3.9211,,
2001-11,1.2,4.00,5.2,75.3464,3.5534,,
2001-12,1.4,4.00,5.2,75.31,3.3613,,
2002-01,1.8,4.00,5.1,75.6404,3.4038,,
2002-02,1.7,4.00,5.2,75.6736,3.3488,,
2002-03,1.7,4.00,5.2,75.9535,3.315,,
2002-04,1.6,4.00,5.2,76.4379,3.4411,,
2002-05,1.2,4.00,5.2,76.7968,3.6613,,
2002-06,1.1,4.00,5.2,75.1222,4.3208,,
2002-07,1.4,4.00,5.2,76.3017,5.4106,,
2002-08,1.3,4.00,5.3,76.6938,4.6613,,
2002-09,1.2,4.00,5.2,76.9676,5.8979,,
2002-10,1.5,4.00,5.2,77.1108,5.7123,,
2002-11,1.6,4.00,5.1,77.297,5.6881,,
2002-12,1.7,4.00,5,77.3612,5.7056,,
2003-01,1.4,4.00,5.1,77.6887,5.7738,,
2003-02,1.6,3.75,5.2,78.0133,5.6181,,
2003-03,1.6,3.75,5.1,77.8609,5.3259,,
2003-04,1.5,3.75,5,78.4528,4.6534,,
2003-05,1.3,3.75,4.9,78.4091,4.8659,,
2003-06,1.2,3.75,5.1,78.9614,4.6939,,
2003-07,1.3,3.50,5.1,79.2543,4.7787,,
2003-08,1.4,3.50,5,79.4207,4.6984,,
2003-09,1.3,3.50,5,79.819,4.8058,,
2003-10,1.3,3.50,4.9,80.0208,4.8587,,
2003-11,1.3,3.75,4.9,79.9475,5.0751,,
2003-12,1.3,3.75,4.8,80.6016,5.1632,,
2004-01,1.5,3.75,4.8,80.262,5.3511,,
2004-02,1.4,4.00,4.8,80.4683,5.4211,,
2004-03,1.2,4.00,4.8,80.78,5.3446,,
2004-04,1.1,4.00,4.8,80.6316,5.2181,,
2004-05,1.4,4.25,4.8,80.7106,5.8411,,
2004-06,1.5,4.50,4.8,81.0442,5.6121,,
2004-07,1.4,4.50,4.7,80.9092,5.5284,,
2004-08,1.4,4.75,4.7,80.9372,5.2742,,
2004-09,1.2,4.75,4.7,81.115,5.181,,
2004-10,1.3,4.75,4.7,81.2473,5.2552,,
2004-11,1.5,4.75,4.7,81.3162,5.1975,,
2004-12,1.8,4.75,4.7,81.3906,5.0937,,
2005-01,1.7,4.75,4.8,82.3108,4.914,,
2005-02,1.7,4.75,4.7,82.1438,4.9777,,
2005-03,2.0,4.75,4.7,81.8927,5.0657,,
2005-04,1.9,4.75,4.8,83.0879,4.8249,,
2005-05,1.9,4.75,4.8,82.9781,4.3798,,
2005-06,2.0,4.75,4.7,83.3994,4.1865,,
2005-07,2.3,4.75,4.7,84.117,4.1818,,
